สำนัก/เขต,เรื่องแจ้งทั้งหมด,สถานะรอรับเรื่อง,สถานะดำเนินการ,สถานะส่งต่อ,สถานะเสร็จสิ้น,สถานะไม่เกี่ยวข้อง
"สำนักการโยธา กทม.",25596,11,13426,3911,8033,215
"กองบัญชาการตำรวจนครบาล (บช.น.)",24092,3456,1597,104,18167,768
"การไฟฟ้านครหลวง MEA",22365,3218,10572,79,7697,799
เขตจตุจักร,10335,3,142,3537,6544,109
"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.)",10292,246,4784,205,4663,394
เขตประเวศ,7252,2,538,530,6135,47
เขตบางกะปิ,6417,29,947,1279,3913,249
เขตบางแค,6387,3,41,1237,4997,109
เขตวัฒนา,6116,14,595,1061,4279,167
เขตลาดกระบัง,6114,2,286,1218,4348,260
เขตบางเขน,6112,7,58,1240,4751,56
เขตสวนหลวง,5980,5,778,1382,3753,62
เขตคลองเตย,5615,10,210,1446,3886,63
เขตห้วยขวาง,4931,3,194,2389,2265,80
เขตบางขุนเทียน,4821,3,26,911,3633,248
เขตปทุมวัน,4767,29,87,1835,2663,153
เขตดินแดง,4732,29,303,1416,2624,360
เขตราชเทวี,4670,6,267,1272,3007,118
"สำนักการระบายน้ำ กทม.",4667,8,184,1345,2991,139
เขตบางซื่อ,4274,6,315,902,2958,93
เขตบางนา,4219,9,199,1372,2634,5
เขตพญาไท,3858,5,171,702,2899,81
เขตบางรัก,3845,5,137,1137,2476,90
เขตสายไหม,3814,12,777,206,2440,379
เขตสาทร,3713,17,84,888,2684,40
เขตคลองสามวา,3703,2,942,308,2299,152
เขตบึงกุ่ม,3675,21,91,458,3056,49
เขตลาดพร้าว,3450,4,149,315,2900,82
เขตบางกอกน้อย,3372,0,959,291,2058,64
เขตวังทองหลาง,3363,2,189,515,2611,46
เขตพระนคร,3282,63,248,389,2210,372
เขตมีนบุรี,3265,0,85,742,2333,105
เขตหลักสี่,3260,2,197,894,2080,87
เขตบางพลัด,3180,0,26,1070,2049,35
เขตภาษีเจริญ,3142,4,19,798,2170,151
เขตธนบุรี,3119,0,8,1014,2072,25
เขตพระโขนง,3082,3,36,675,2304,64
เขตจอมทอง,3042,0,99,1041,1790,112
เขตดอนเมือง,3041,1,210,343,2363,124
"การประปานครหลวง กปน. (Metropolitan Waterworks Authority - MWA)",3010,158,473,136,2005,238
เขตยานนาวา,2961,4,124,1022,1753,58
เขตสะพานสูง,2937,5,520,202,2184,26
เขตตลิ่งชัน,2914,0,34,1074,1603,203
เขตหนองจอก,2858,0,150,530,2155,23
เขตคลองสาน,2362,0,170,499,1496,197
เขตบางบอน,2305,0,3,495,1615,192
เขตดุสิต,2270,0,13,719,1409,129
เขตทุ่งครุ,2169,0,1,261,1798,109
เขตบางคอแหลม,2147,0,72,424,1636,15
เขตหนองแขม,2130,1,13,447,1651,18
เขตป้อมปราบศัตรูพ่าย,1894,0,22,195,1628,49
เขตราษฎร์บูรณะ,1806,0,16,396,1301,93
เขตทวีวัฒนา,1795,1,38,194,1148,414
เขตคันนายาว,1789,0,27,559,1099,104
"สำนักสิ่งแวดล้อม กทม.",1743,11,485,49,1151,47
กรุงเทพโปร่งใส,1412,34,10,308,896,164
เขตบางกอกใหญ่,1372,0,60,342,967,3
เขตสัมพันธวงศ์,887,0,4,76,731,76
"สำนักอนามัย กทม.",862,9,479,0,368,6
"สำนักวัฒนธรรม กีฬาและการท่องเที่ยว กทม.",245,0,24,15,200,6
"สำนักป้องกันและบรรเทาสาธารณภัย กทม.",144,0,2,3,134,5
"สำนักการแพทย์ กทม.",126,0,0,10,100,16
"สำนักพัฒนาสังคม กทม.",78,0,9,0,68,1
"สำนักการคลัง กทม.",71,0,2,0,69,0
"สำนักเทศกิจ กทม.",66,0,6,0,60,0
"สำนักการศึกษา กทม.",52,1,1,2,41,7
"สำนักการวางผังและพัฒนาเมือง กทม.",50,0,1,6,40,3
"สำนักยุทธศาสตร์และประเมินผล กทม.",24,0,0,1,23,0
สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร,24,0,0,0,22,2
สำนักงบประมาณกรุงเทพมหานคร,11,0,0,0,10,1
